filename,expression_error
0000.png,0.19435712695121765
0001.png,0.13327190279960632
0002.png,0.14692652225494385
0003.png,0.1963389664888382
0004.png,0.14201198518276215
0005.png,0.1777464896440506
0006.png,0.23815062642097473
0007.png,0.18212468922138214
0008.png,0.138800248503685
0009.png,0.18499156832695007
0010.png,0.14924602210521698
0011.png,0.1380259245634079
0012.png,0.12918584048748016
0013.png,0.14402568340301514
0014.png,0.1362784057855606
0015.png,0.14129561185836792
0016.png,0.21272574365139008
0017.png,0.1301628053188324
0018.png,0.14668703079223633
0019.png,0.2523953318595886
0020.png,0.2050832062959671
0021.png,0.15899059176445007
0022.png,0.15341167151927948
0023.png,0.18261322379112244
0024.png,0.1340494155883789
0025.png,0.1103179007768631
0026.png,0.16028352081775665
0027.png,0.1688370704650879
0028.png,0.258038729429245
0029.png,0.10036835819482803
0030.png,0.2277904897928238
0031.png,0.13243038952350616
0032.png,0.14451049268245697
0033.png,0.1646621972322464
0034.png,0.17951245605945587
0035.png,0.11823209375143051
0036.png,0.15442727506160736
0037.png,0.1320669949054718
0038.png,0.17562651634216309
0039.png,0.189638152718544
0040.png,0.20250460505485535
0041.png,0.2911946177482605
0042.png,0.23331694304943085
0043.png,0.1412360519170761
0044.png,0.18348611891269684
0045.png,0.16748636960983276
0046.png,0.13911806046962738
0047.png,0.14503392577171326
0048.png,0.12507885694503784
0049.png,0.10252378135919571
0050.png,0.20348982512950897
0051.png,0.14841045439243317
0052.png,0.13806045055389404
0053.png,0.13368560373783112
0054.png,0.12823669612407684
0055.png,0.20569823682308197
0056.png,0.11683259159326553
0057.png,0.12187207490205765
0058.png,0.20646902918815613
0059.png,0.11126228421926498
0060.png,0.1402338296175003
0061.png,0.12820284068584442
0062.png,0.1076754555106163
0063.png,0.1815258264541626
0064.png,0.15106981992721558
0065.png,0.17326338589191437
0066.png,0.20127949118614197
0067.png,0.10602575540542603
0068.png,0.16368843615055084
0069.png,0.15727826952934265
0070.png,0.14751660823822021
0071.png,0.18667413294315338
0072.png,0.16859246790409088
0073.png,0.14218401908874512
0074.png,0.08857571333646774
0075.png,0.2513664662837982
0076.png,0.13492414355278015
0077.png,0.09177239239215851
0078.png,0.16392739117145538
0079.png,0.2301342636346817
0080.png,0.09111429750919342
0081.png,0.18784864246845245
0082.png,0.14550067484378815
0083.png,0.15810738503932953
0084.png,0.16347602009773254
0085.png,0.17200754582881927
0086.png,0.1465156078338623
0087.png,0.14905360341072083
0088.png,0.13977527618408203
0089.png,0.19153712689876556
0090.png,0.19303381443023682
0091.png,0.13489319384098053
0092.png,0.08359483629465103
0093.png,0.11756432056427002
0094.png,0.2086673527956009
0095.png,0.16049572825431824
0096.png,0.13727284967899323
0097.png,0.11960413306951523
0098.png,0.13048553466796875
0099.png,0.15752774477005005
0100.png,0.14232483506202698
0101.png,0.1646745502948761
0102.png,0.11205078661441803
0103.png,0.13971850275993347
0104.png,0.11924846470355988
0105.png,0.1757582724094391
0106.png,0.23040248453617096
0107.png,0.12455900013446808
0108.png,0.1706339716911316
0109.png,0.21816137433052063
0110.png,0.1808449923992157
0111.png,0.14533808827400208
0112.png,0.13447017967700958
0113.png,0.15985949337482452
0114.png,0.1324182003736496
0115.png,0.2268047332763672
0116.png,0.10064173489809036
0117.png,0.11731423437595367
0118.png,0.14574794471263885
0119.png,0.13601654767990112
0120.png,0.1706584244966507
0121.png,0.13893531262874603
0122.png,0.22899402678012848
0123.png,0.21470649540424347
0124.png,0.12779808044433594
0125.png,0.15005190670490265
0126.png,0.13398215174674988
0127.png,0.22283026576042175
0128.png,0.13713088631629944
0129.png,0.186479389667511
0130.png,0.08251619338989258
0131.png,0.09410589933395386
0132.png,0.16713784635066986
0133.png,0.133998304605484
0134.png,0.16648347675800323
0135.png,0.13278745114803314
0136.png,0.1928556114435196
0137.png,0.13333964347839355
0138.png,0.14587892591953278
0139.png,0.16221395134925842
0140.png,0.15202079713344574
