filename,expression_error
0000.png,0.13092531263828278
0001.png,0.11118010431528091
0002.png,0.12157046794891357
0003.png,0.09865747392177582
0004.png,0.1794714778661728
0005.png,0.11841557919979095
0006.png,0.17337362468242645
0007.png,0.11696415394544601
0008.png,0.19224730134010315
0009.png,0.23813746869564056
0010.png,0.16791971027851105
0011.png,0.19763006269931793
0012.png,0.12855033576488495
0013.png,0.16489596664905548
0014.png,0.10196671634912491
0015.png,0.1521253138780594
0016.png,0.1668696105480194
0017.png,0.12841571867465973
0018.png,0.16601628065109253
0019.png,0.19480867683887482
0020.png,0.16369423270225525
0021.png,0.15121589601039886
0022.png,0.12005656212568283
0023.png,0.11037202179431915
0024.png,0.13669949769973755
0025.png,0.2502520978450775
0026.png,0.17160575091838837
0027.png,0.12711316347122192
0028.png,0.15779100358486176
0029.png,0.13132396340370178
0030.png,0.19471296668052673
0031.png,0.18545009195804596
0032.png,0.1369488537311554
0033.png,0.11986266076564789
0034.png,0.19639728963375092
0035.png,0.12022732943296432
0036.png,0.15938247740268707
0037.png,0.18933561444282532
0038.png,0.09736135601997375
0039.png,0.15874741971492767
0040.png,0.19991253316402435
0041.png,0.16718509793281555
0042.png,0.144676074385643
0043.png,0.15041151642799377
0044.png,0.2150176763534546
0045.png,0.17130041122436523
0046.png,0.1251063346862793
0047.png,0.13389751315116882
0048.png,0.15506358444690704
0049.png,0.13774244487285614
0050.png,0.11910706013441086
0051.png,0.12969346344470978
0052.png,0.14037322998046875
0053.png,0.12557032704353333
0054.png,0.12396781891584396
0055.png,0.1512148231267929
0056.png,0.17195922136306763
0057.png,0.1345488429069519
0058.png,0.1745678335428238
0059.png,0.15704315900802612
0060.png,0.13418705761432648
0061.png,0.08750750124454498
0062.png,0.14750590920448303
0063.png,0.12920759618282318
0064.png,0.1812077909708023
0065.png,0.14717383682727814
0066.png,0.16155757009983063
0067.png,0.10117265582084656
0068.png,0.1761712282896042
0069.png,0.11223015189170837
0070.png,0.1724119633436203
0071.png,0.14799539744853973
0072.png,0.20071545243263245
0073.png,0.09068173915147781
0074.png,0.14853434264659882
0075.png,0.2568013668060303
0076.png,0.16438613831996918
0077.png,0.1365559697151184
0078.png,0.15531884133815765
0079.png,0.19496868550777435
0080.png,0.1432516872882843
0081.png,0.1599406749010086
0082.png,0.11033210158348083
0083.png,0.11327990144491196
0084.png,0.13479597866535187
0085.png,0.1043243557214737
0086.png,0.13655757904052734
0087.png,0.09751447290182114
0088.png,0.20935925841331482
0089.png,0.1513061225414276
0090.png,0.15117354691028595
0091.png,0.09348783642053604
0092.png,0.129206120967865
0093.png,0.15522465109825134
0094.png,0.12010563164949417
0095.png,0.1257927417755127
0096.png,0.12193776667118073
0097.png,0.12494920194149017
0098.png,0.16611899435520172
0099.png,0.1044553592801094
0100.png,0.15865346789360046
0101.png,0.20234711468219757
0102.png,0.1662144511938095
0103.png,0.0889609158039093
0104.png,0.17291346192359924
0105.png,0.16822177171707153
0106.png,0.11916033178567886
0107.png,0.1071392074227333
0108.png,0.1219649612903595
0109.png,0.16131210327148438
0110.png,0.2280595451593399
0111.png,0.09391913563013077
0112.png,0.12147587537765503
0113.png,0.1590758115053177
0114.png,0.17806825041770935
0115.png,0.17603810131549835
0116.png,0.1603025496006012
0117.png,0.12654265761375427
0118.png,0.16528035700321198
0119.png,0.13141851127147675
0120.png,0.11464662849903107
0121.png,0.12007264047861099
0122.png,0.14608824253082275
0123.png,0.15781839191913605
0124.png,0.14698925614356995
0125.png,0.1825600266456604
0126.png,0.15695194900035858
0127.png,0.15650321543216705
0128.png,0.13312362134456635
0129.png,0.10272859036922455
0130.png,0.10871204733848572
0131.png,0.11717475950717926
0132.png,0.11879449337720871
0133.png,0.17000603675842285
0134.png,0.17053969204425812
0135.png,0.055888447910547256
0136.png,0.13934201002120972
0137.png,0.24707108736038208
0138.png,0.11663435399532318
0139.png,0.21940581500530243
0140.png,0.11200203746557236
0141.png,0.09412191808223724
0142.png,0.15445317327976227
0143.png,0.18522223830223083
0144.png,0.1484479010105133
0145.png,0.2594577670097351
0146.png,0.13926538825035095
0147.png,0.1571420133113861
0148.png,0.1263405978679657
0149.png,0.058346789330244064
0150.png,0.12298288941383362
0151.png,0.1501234769821167
0152.png,0.16577595472335815
0153.png,0.24139349162578583
0154.png,0.17312966287136078
0155.png,0.13803315162658691
0156.png,0.16586585342884064
0157.png,0.12499618530273438
0158.png,0.1293327957391739
0159.png,0.2094402313232422
0160.png,0.15717734396457672
0161.png,0.08479109406471252
0162.png,0.15482693910598755
0163.png,0.13185131549835205
0164.png,0.11034710705280304
0165.png,0.18753349781036377
0166.png,0.23500500619411469
0167.png,0.15359610319137573
0168.png,0.15668657422065735
0169.png,0.19096410274505615
0170.png,0.16888466477394104
0171.png,0.19272461533546448
0172.png,0.11274847388267517
0173.png,0.19887135922908783
0174.png,0.1279900074005127
0175.png,0.15266290307044983
0176.png,0.12578877806663513
0177.png,0.11179567128419876
0178.png,0.13049031794071198
0179.png,0.10536210238933563
0180.png,0.11746019124984741
0181.png,0.15782888233661652
0182.png,0.24991710484027863
0183.png,0.08924040198326111
0184.png,0.121336929500103
0185.png,0.19012106955051422
0186.png,0.17150889337062836
0187.png,0.2551247179508209
0188.png,0.1512473225593567
0189.png,0.09693000465631485
0190.png,0.13725842535495758
0191.png,0.1549469232559204
0192.png,0.12144837528467178
0193.png,0.15464363992214203
0194.png,0.2037031203508377
0195.png,0.1807556301355362
0196.png,0.1570187658071518
0197.png,0.22066928446292877
0198.png,0.20703263580799103
0199.png,0.15787096321582794
0200.png,0.14702968299388885
0201.png,0.1564936488866806
0202.png,0.17715460062026978
0203.png,0.08273777365684509
0204.png,0.12780530750751495
0205.png,0.1615695208311081
0206.png,0.19068047404289246
0207.png,0.2266216278076172
0208.png,0.09892455488443375
0209.png,0.1364128589630127
0210.png,0.1065482497215271
0211.png,0.1556227058172226
0212.png,0.10336817055940628
0213.png,0.16550907492637634
0214.png,0.20237316191196442
0215.png,0.12183458358049393
0216.png,0.19302688539028168
0217.png,0.11442861706018448
0218.png,0.15368296205997467
0219.png,0.17516925930976868
0220.png,0.17414188385009766
0221.png,0.20480090379714966
0222.png,0.1094258576631546
0223.png,0.1070479303598404
0224.png,0.16043397784233093
0225.png,0.12015282362699509
0226.png,0.1792716234922409
0227.png,0.1528959423303604
0228.png,0.11754155904054642
0229.png,0.17819778621196747
0230.png,0.17469346523284912
0231.png,0.10856719315052032
0232.png,0.16307102143764496
0233.png,0.15162603557109833
0234.png,0.20210294425487518
0235.png,0.17849178612232208
0236.png,0.1853645294904709
0237.png,0.172994002699852
0238.png,0.13857923448085785
0239.png,0.15335863828659058
0240.png,0.16715505719184875
0241.png,0.22278402745723724
0242.png,0.2018415927886963
0243.png,0.13087867200374603
0244.png,0.15081161260604858
0245.png,0.16167278587818146
0246.png,0.15105456113815308
0247.png,0.2203846275806427
0248.png,0.23741909861564636
0249.png,0.14159926772117615
0250.png,0.1290992647409439
0251.png,0.18989555537700653
0252.png,0.1829613596200943
0253.png,0.06251773983240128
0254.png,0.1481965035200119
0255.png,0.0842326208949089
0256.png,0.28990915417671204
0257.png,0.14397813379764557
0258.png,0.09515459090471268
0259.png,0.24020913243293762
0260.png,0.19139067828655243
0261.png,0.11733746528625488
0262.png,0.1498926430940628
0263.png,0.14332494139671326
0264.png,0.18554119765758514
0265.png,0.13348039984703064
0266.png,0.09323407709598541
0267.png,0.11983320116996765
0268.png,0.12283837050199509
0269.png,0.21371090412139893
0270.png,0.05528092011809349
0271.png,0.09398188441991806
0272.png,0.12158574163913727
0273.png,0.1942712962627411
0274.png,0.22623498737812042
0275.png,0.13582372665405273
0276.png,0.17281611263751984
0277.png,0.14817403256893158
0278.png,0.27394944429397583
0279.png,0.15297190845012665
0280.png,0.1960902214050293
0281.png,0.1251523643732071
0282.png,0.17143909633159637
0283.png,0.1086605116724968
0284.png,0.14542856812477112
0285.png,0.13436317443847656
0286.png,0.13390015065670013
0287.png,0.15593983232975006
0288.png,0.11991234868764877
0289.png,0.17245888710021973
